,0,1,2,3,4,5,6
0,254,1,3,89,14,25,105
1,0,29,15,1,10,0,0
2,3,4,343,2,174,0,2
3,82,0,7,675,6,23,86
4,0,2,187,2,402,0,1
5,44,0,6,44,1,286,35
6,82,0,5,103,14,29,393
